iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
48,0.7046427084898421,0.018491310035249314,0.7408596740597908,0.007052083920928823,0.46118858173115856,0.04579059873302129,0.36134073041935155,0.0037678262262805305
49,0.7044074262837292,0.01861316726450706,0.7413230626856724,0.00697932424321627,0.46144969881489556,0.04658021870974213,0.3610061066608962,0.0038496461743439624
50,0.703107058760484,0.019694131282715514,0.7421975605494441,0.007368068978917881,0.4621533826681065,0.04669260763476932,0.3597286367660198,0.003859599894652402
51,0.7021101182350276,0.020463204046442755,0.7430558852275304,0.007100158691445419,0.463947577904921,0.05103595230035061,0.3589707610543034,0.0036739991644613146
52,0.704551835053434,0.019870771172916336,0.7435642131151001,0.007612033290565348,0.464253012024615,0.05075565611354331,0.3583136662076368,0.00361768550287146
53,0.7042907417251216,0.019329360157245186,0.7438664217630986,0.0073066385087126534,0.4641391953499359,0.050462393142648956,0.35762848193103347,0.0036729449582158817
54,0.7047356392232172,0.02097633386603315,0.7446805768117711,0.006355661437189726,0.4641783746113027,0.050801798699397355,0.35698838462214477,0.003691870062618124
55,0.7049190283962027,0.02094919142282518,0.7450049604339621,0.006367451776755889,0.4645343856650868,0.05055075530918979,0.3564997982274163,0.0038448084480177816
56,0.7049190283962027,0.02094919142282518,0.7452561840796216,0.006847505135799206,0.4650471070950418,0.050326250700146534,0.35554099829312247,0.0040261497262745775
57,0.7044057381350229,0.02071331797162327,0.7452469653217648,0.007569538779858643,0.4647864309512436,0.05066874030622513,0.35466396629389607,0.004004958155308581
58,0.7042222621948245,0.019626958324666537,0.7460127848692542,0.0068600522474410956,0.4673818255979539,0.05585916266742182,0.3536979405312653,0.003834351617013642
59,0.7042110637944328,0.019483268054983936,0.7460557278447021,0.006880118466709136,0.4698264273178829,0.06015351441721784,0.35265240305486606,0.00460865936430696
60,0.7040240518114178,0.0185734524608273,0.7460819133073393,0.0063196104113477205,0.47036646390929215,0.0596183617357698,0.35171613105876237,0.004966649273764104
61,0.7042871189150921,0.018389904032485936,0.7464508222183035,0.006457374903675106,0.4710283375086509,0.05927148621537533,0.3514928030878982,0.0047644140776572025
62,0.7042960113319489,0.019248375451718706,0.7474403020836055,0.00627004885757854,0.47246501682521275,0.05912961974514672,0.350846446622257,0.004715009117967984
63,0.7042960113319489,0.019248375451718706,0.7476222066514173,0.006631758844129272,0.47273578913308095,0.05869685637769954,0.3500207175511761,0.005045851735410993
64,0.7051855776939839,0.02012834403449546,0.7484903060464542,0.006605403999523763,0.4725329656963724,0.05838956617348294,0.3489985639735588,0.004950830915235563
65,0.7052046056378786,0.020103130458806094,0.7490212820399065,0.00620312243955383,0.47330121057298313,0.0585485695141316,0.34846704123362315,0.00478448607027229
66,0.7044877704738391,0.020789614340096484,0.749730627335288,0.0066747467926964,0.47315300970398966,0.05821064780777917,0.3475836860177529,0.004829172075973119
67,0.7022063111711399,0.022264515922797993,0.7506245208186979,0.006886254284462947,0.47756823822855116,0.06519371776807542,0.3469912363317176,0.004848318852176858
68,0.7024266058152264,0.022274859487491132,0.7510588868626519,0.006852171175484229,0.47810991661499785,0.06606314412680375,0.3464566478789154,0.00478815545992599
69,0.7021663347587468,0.021833470881691703,0.7517777355583656,0.005846939774881981,0.47791516720911426,0.06579774820448608,0.3456415600392591,0.004727609310467463
70,0.7024273061365347,0.021721717028333535,0.7520488934105931,0.005913205010887738,0.4778532638635401,0.06549919458785906,0.34515299866231963,0.004545296366548467
71,0.7021790600491089,0.02209638557348467,0.7519356784037654,0.0055300710298404375,0.47841832904069903,0.06534729746330728,0.34449354823874634,0.00483781432931617
72,0.7019188893120627,0.02159644555512293,0.752829670932202,0.00531137759804771,0.47827287152883724,0.06458907498520478,0.3436823322024928,0.004800976034855603
73,0.7018954101772013,0.021343213976983196,0.7536072551751303,0.005550627568415685,0.48007904052151823,0.06677325881264948,0.3428927060240947,0.0051291486681532324
74,0.7013584769017106,0.022091842503223158,0.7539540454719253,0.004488243168563757,0.4798285620863334,0.06715533924156869,0.34193730981570003,0.004797383119710508
75,0.702564830924533,0.021643729890722604,0.754958335777227,0.004516142989692709,0.4808224576174759,0.06725139240376697,0.34121763197439253,0.004906609992925628
76,0.7032687417171248,0.020912155761817784,0.7550651986652837,0.0038340267225457827,0.4811855692534685,0.06789083514253688,0.3408075494159241,0.005044984977463722
77,0.7015564200970885,0.022411970559006643,0.7558341727971418,0.00462218227340524,0.48220328652265304,0.06767503761285193,0.3400310198973045,0.005102451969153634
78,0.7008541596686861,0.022334061121337383,0.7558111648021755,0.005166314799332995,0.4825041875124457,0.06721512609135306,0.3390179955185309,0.005123545314851202
